"Комментарий","Путь","ГТ","Т","Трейлер","П","Постеры","М","Наименование","С","З","О","!","Контрагент","Дата публикации"
"готовит Женя, 2004, 18+","\\nas\ROOT\EDIT\24_06_11\","","g","Женя","п","Катя","O","Страсти Христовы","g","g","v","","Арна Медиа","11.06.2024"
"готовит Женя, 2012, 18+","\\nas\ROOT\EDIT\24_06_11\","","g","Женя","п","Катя","O","Семь психопатов","g","g","v","","Арна Медиа","11.06.2024"
"готовит Саша, 2012, 16+","\\nas\ROOT\EDIT\24_06_11\","к","g","Саша","п","СашаР","O","Большие надежды","g","g","v","","Арна Медиа","11.06.2024"
"готовит Саша, 2017, 18+","\\nas\ROOT\EDIT\24_06_11\","к","g","Саша","п","СашаР","O","Выстрел","g","g","v","","Арна Медиа","11.06.2024"
"готовит Саша, 1997, 18+","\\nas\ROOT\EDIT\24_06_11\","","g","Саша","п","СашаР","O","Анна Каренина","g","g","v","","Арна Медиа","11.06.2024"
"готовит Саша, 2010, 18+","\\nas\ROOT\EDIT\24_06_11\","к","g","Саша","п","СашаР","O","Сердцеед","g","g","v","","Арна Медиа","11.06.2024"
"","","","","","","","","13.06.2024","","","","","",""
"готовит Саша, 2023","\\nas\ROOT\EDIT\24_06_13\","","g","Саша","п","СашаР","O","Обряд. Во власти демона","g","g","v","","Веста","13.06.2024"
"","","","","","","","","14.06.2024","","","","","",""
"готовит Женя, 2022","\\nas\ROOT\EDIT\24_06_14\","к","g","Женя","g","Катя","O","Власть огня","g","g","v","","Веста","14.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_14\","к","g","Женя","п","Катя","O","Виртуальная реальность","g","g","v","","Веста","14.06.2024"
"","","","","","","","","15.06.2024","","","","","",""
"готовит Женя","\\nas\ROOT\EDIT\24_06_15\","к","g","Женя","п","Катя","O","Мой пес Руни","g","g","v","","Веста","15.06.2024"
"","","","","","","","","17.06.2024","","","","","",""
"готовит Саша, 2023","\\nas\ROOT\EDIT\24_06_17\","к","g","Саша","п","Катя","O","BTOB. Будем вместе!","g","g","v","","Веста","17.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_17\","","g","Женя","п","СашаР","O","Жил певчий дрозд","g","g","v","","Веста","17.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_17\","","g","Женя","п","СашаР","O","Пастораль","g","g","v","","Веста","17.06.2024"
"готовит Женя","\\nas\ROOT\EDIT\24_06_17\","","g","Женя","п","СашаР","O","Фавориты луны","g","g","v","","Веста","17.06.2024"
"","","","","","","","","20.06.2024","","","","","",""
