"Комментарий","Путь","ГТ","Т","Трейлер","П","Постеры","М","Наименование","С","З","О","!","Контрагент","Дата публикации"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Sommerdal_s05","","","","п","Катя","O","Соммердаль. 05 сезон. 08 серия","g","g","","","Амедиа","24.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Dom_drakona_s02","r","g","Саша","п","СашаР","O","Дом Дракона. 02 сезон. 01 серия","g","g","","","Амедиа","24.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Aleks_lyutyy_s03","","","","п","Катя","O","Алекс Лютый. 03 сезон. 10 серий","g","g","","","Амедиа","24.06.2024"
"готовит Кирилл","\\nas\ROOT\EDIT\_amedia\Terror_s02","","","","","","O","Террор. 02 сезон. 02 серии (Замена)","g","g","","","Амедиа","25.06.2024"
"готовит Кирилл","\\nas\ROOT\EDIT\_amedia\Intervyu_s_vampirom_s02","","","","п","Катя","O","Интервью с вампиром. 02 сезон. 07 серия","g","g","","","Амедиа","25.06.2024"
"готовит Кирилл","\\nas\ROOT\EDIT\_amedia\Uoker_s04","","","","п","Катя","O","Уокер. 04 сезон. 13 серия","g","g","","","Амедиа","27.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Milye_obmanshicy_pervorodnyy_greh_s02","","","","п","Катя","O","Милые обманщицы: Первородный грех. 02 сезон. 08 серия","g","g","","","Амедиа","27.06.2024"
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Lyubov_mezhdu_feey_i_dyavolom_s01","r","g","Саша","п","Катя","O","Любовь между феей и дьяволом. 01 сезон. 18 серий","g","g","","","Амедиа","27.06.2024"
"","","","","","","","O","Любовь между феей и дьяволом. 01 сезон. 19-36 серии","","","","","Амедиа",""
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Garri_uayld_s01","","","","","","O","Гарри Уайлд. 01 сезон. 01 серия (Замена)","g","g","","","Амедиа","28.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Mificheskie_sozdaniya_i_kak_ih_gotovyat_s01","","","","g","Катя","O","Мифические создания и как их готовят. 01 сезон. 04 серия","g","g","","","Амедиа","28.06.2024"
"готовит Саша, 2023","\\nas\ROOT\EDIT\_amedia\Zlo_s04","","","","g","Катя","O","Зло. 04 сезон. 06 серия","g","g","","","Амедиа","28.06.2024"
"готовит Саша, 2021","\\nas\ROOT\EDIT\_deep\Sekret_v_temnoy_kamorke_s01","r","g","Саша","g","Катя","O","Секрет в темной каморке. 01 сезон. 24 серий","g","п","","","DEEP","28.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Nochnaya_terapiya_s01","r","y","Саша","","Катя","O","Ночная терапия. 01 сезон. 01 серия","y","r","","","Амедиа","01.07.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Dom_drakona_s02","","","","g","СашаР","O","Дом Дракона. 02 сезон. 02 серия","y","r","","","Амедиа","01.07.2024"
"готовит Саша, 2016","","","","","","Катя","O","По дороге с Норманом Ридусом. 01 сезон. 06 серий","y","","","","Амедиа","01.07.2024"
"готовит Саша, 2017","","","","","","","O","По дороге с Норманом Ридусом. 02 сезон. 06 серий","y","","","","Амедиа","01.07.2024"
"готовит Саша, 2019","","","","","","","O","По дороге с Норманом Ридусом. 03 сезон. 05 серий","y","","","","Амедиа","01.07.2024"
"готовит Кирилл, 2020","","","","","","","O","По дороге с Норманом Ридусом. 04 сезон. 06 серий","м","","","","Амедиа","01.07.2024"
"2021","","","","","","","O","По дороге с Норманом Ридусом. 05 сезон. 06 серий","м","","","","Амедиа","01.07.2024"
"","","","","","","","O","По дороге с Норманом Ридусом. 06 сезон. 04 серий","м","","","","Амедиа","01.07.2024"
"","","","","","","СашаР","O","Джонстаун: Ужас в джунглях. 01 сезон. 04 серий","","","","","Амедиа","04.07.2024"
"","","","","","","","O","Хладнокровное убийство. 01 сезон. 04 серий","","","","","Амедиа","04.07.2024"
"","","","","","","","O","Королевы тайн. 02 сезон. 06 серий","","","","","",""
"","","к","g","Саша","н","СашаР","O","Обреченные на славу. 01 сезон. 10 серий","","","","","Амедиа","19.07.2024"
""," ","r","","","","","O","Трейлер для теста (English Name TEST)","и","","","","ТестTV","19.07.2022"
"","","","","","","","O","Какое-то имя фильма","п","п","","","ТестTV","19.07.2022"
"","","","","","","","O","Ещё одно кино","y","","","","Амедиа","19.07.2022"
"","","","","","","","O","Тест Сериал. 01 сезон. 08 серий","y","","","","Амедиа","19.07.2022"
"","","","","","","","O","Сериал про картошку. 02 сезон. 04 серия","y","","","","ТестTV","19.07.2022"
"","","","","","","","O","Снова Сериал. 02 сезон. 03 серия","y","","","","ТестTV","19.07.2022"
